,,,"Saskatchewan [Province]",,,,,,"Canada [Country]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Population and dwellings","Population; 2016",1, 1098352,,,...,,...,35151728,,,...,,...
"Population and dwellings","Population; 2011",1, 1033381,,,...,,...,33476688,,,...,,...
"Population and dwellings","Population percentage change; 2011 to 2016",,      6.3,,,...,,...,      5.0,,,...,,...
"Population and dwellings","Total private dwellings",2,  495582,,,...,,...,15412443,,,...,,...
"Population and dwellings","Private dwellings occupied by usual residents",3,  432622,,,...,,...,14072079,,,...,,...
"Population and dwellings","Population density per square kilometre",,    1.9,,,...,,...,    3.9,,,...,,...
"Population and dwellings","Land area in square kilometres",, 588243.54,,,...,,...,8965588.85,,,...,,...
"Age characteristics","Total - Age groups and average age of the population - 100% data",4, 1098350,,  545785,,  552565,,35151730,,17264200,,17887530,
"Age characteristics","  0 to 14 years",,  215685,,  110410,,  105275,, 5839565,, 2992920,, 2846645,
"Age characteristics","    0 to 4 years",,   73130,,   37335,,   35795,, 1898790,,  973030,,  925760,
"Age characteristics","    5 to 9 years",,   74460,,   38155,,   36305,, 2018130,, 1034685,,  983445,
"Age characteristics","    10 to 14 years",,   68095,,   34920,,   33175,, 1922645,,  985200,,  937445,
"Age characteristics","  15 to 64 years",,  712240,,  358110,,  354130,,23376530,,11576130,,11800400,
"Age characteristics","    15 to 19 years",,   67660,,   34675,,   32980,, 2026160,, 1039215,,  986940,
"Age characteristics","    20 to 24 years",,   70060,,   36075,,   33985,, 2242690,, 1144495,, 1098200,
"Age characteristics","    25 to 29 years",,   77525,,   39290,,   38235,, 2285990,, 1144470,, 1141515,
"Age characteristics","    30 to 34 years",,   77520,,   38610,,   38915,, 2329395,, 1148290,, 1181110,
"Age characteristics","    35 to 39 years",,   71590,,   35940,,   35650,, 2288365,, 1118635,, 1169730,
"Age characteristics","    40 to 44 years",,   64950,,   32515,,   32440,, 2255135,, 1104440,, 1150695,
"Age characteristics","    45 to 49 years",,   63580,,   31780,,   31795,, 2359965,, 1157760,, 1202210,
"Age characteristics","    50 to 54 years",,   75245,,   37230,,   38015,, 2678075,, 1318755,, 1359320,
"Age characteristics","    55 to 59 years",,   76195,,   38070,,   38125,, 2620240,, 1285190,, 1335055,
"Age characteristics","    60 to 64 years",,   67915,,   33935,,   33985,, 2290510,, 1114885,, 1175630,
"Age characteristics","  65 years and over",,  170425,,   77265,,   93160,, 5935630,, 2695150,, 3240485,
"Age characteristics","    65 to 69 years",,   53230,,   26285,,   26945,, 1972480,,  953075,, 1019405,
"Age characteristics","    70 to 74 years",,   37740,,   18225,,   19510,, 1420875,,  677975,,  742900,
"Age characteristics","    75 to 79 years",,   29400,,   13415,,   15985,, 1021850,,  469550,,  552300,
"Age characteristics","    80 to 84 years",,   23115,,    9945,,   13170,,  749650,,  325765,,  423880,
"Age characteristics","    85 years and over",,   26940,,    9395,,   17550,,  770780,,  268790,,  501990,
"Age characteristics","      85 to 89 years",,   16280,,    6305,,    9975,,  482525,,  185535,,  296990,
"Age characteristics","      90 to 94 years",,    8000,,    2515,,    5485,,  223510,,   68675,,  154835,
"Age characteristics","      95 to 99 years",,    2290,,     520,,    1760,,   56525,,   13240,,   43280,
"Age characteristics","      100 years and over",,     375,,      50,,     325,,    8230,,    1340,,    6890,
"Age characteristics","Total - Distribution (%) of the population by broad age groups - 100% data",,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,,  100.0,
"Age characteristics","  0 to 14 years",,   19.6,,   20.2,,   19.1,,   16.6,,   17.3,,   15.9,
"Age characteristics","  15 to 64 years",,   64.8,,   65.6,,   64.1,,   66.5,,   67.1,,   66.0,
"Age characteristics","  65 years and over",,   15.5,,   14.2,,   16.9,,   16.9,,   15.6,,   18.1,
"Age characteristics","    85 years and over",,    2.5,,    1.7,,    3.2,,    2.2,,    1.6,,    2.8,
"Age characteristics","Average age of the population",,   39.1,,   38.2,,   40.0,,   41.0,,   40.1,,   41.9,
"Age characteristics","Median age of the population",,   37.8,,   36.9,,   38.7,,   41.2,,   40.2,,   42.2,
