time,Country,State,Population,MFRatio,0-14,15-64,65+
2016,Canada,Alberta,4067175,1.005742776,779155,2787805,500215
2016,Canada,British Columbia,"4,648,055",0.98772995,691390,3107680,848985
2016,Canada,Manitoba,"1,278,365",0.975933969,243820,835580,198965
2016,Canada,New Brunswick,"747,100",0.950769057,110495,487820,148785
2016,Canada,Newfoundland and Labrador,"519,710",0.955378306,74440,344245,101025
2016,Canada,Nova Scotia,"923,595",0.937425925,133825,605950,183820
2016,Canada,Ontario,"13,448,490",0.952139647,2207970,8988865,2251655
2016,Canada,Prince Edward Island,"142,905",0.941580056,22685,92510,27710
2016,Canada,Quebec,"8,164,365",0.968452878,1333260,5335910,1495195
2016,Canada,Saskatchewan,"4,067,175",1.005742776,779155,2787805,500215
