time,Country,State,Population,MFRatio,0-14,15-65,65+
2020,Afghanistan,,35403655,1.02572062,13644189,20778783,980683
2020,Albania,,3034890,0.974463118,501421,2132858,400611
2020,Algeria,,42118488,1.026379774,11856550,27608497,2653441
2020,American Samoa,,48560,0.994905924,12848,32301,3411
2020,Andorra,,85034,1.054755461,10851,59316,14867
2020,Angola,,31215539,0.947432702,14249705,16217587,748247
2020,Anguilla,,17845,0.895379713,3668,12408,1769
2020,Antigua and Barbuda,,96679,0.890994797,20614,67317,8748
2020,Argentina,,44754775,0.978372704,10199568,29038266,5516941
2020,Armenia,,2985443,0.946620946,527408,2077311,380724
2020,Aruba,,117998,0.896250824,19531,80490,17977
2020,Australia,,25152474,0.986976512,4453139,16654578,4044757
2020,Austria,,8775393,0.958779089,1156812,5858273,1760308
2020,Azerbaijan,,10059411,0.982714096,2184201,7130837,744373
2020,"Bahamas, The",,332764,0.960549107,69469,234012,29283
2020,Bahrain,,1486062,1.541988964,258785,1176671,50606
2020,Bangladesh,,159770182,0.965761341,40196554,108476011,11097617
2020,Barbados,,291245,0.93469423,48211,203065,39969
2020,Belarus,,9386537,0.868010684,1433223,6443048,1510266
2020,Belgium,,11590085,0.971099874,1887376,7451452,2251257
2020,Belize,,390888,1.002541036,121444,251340,18104
2020,Benin,,12354983,0.964284317,5351824,6695376,307783
2020,Bermuda,,70947,0.93532284,11178,45603,14166
2020,Bhutan,,769780,1.084379205,179315,538847,51618
2020,Bolivia,,11403803,0.978208282,3295384,7443516,664903
2020,Bosnia and Herzegovina,,3802647,0.949685448,472733,2707696,622218
2020,Botswana,,2269768,0.922644202,660150,1480751,128867
2020,Brazil,,208874759,0.968943557,41856438,147518959,19499362
2020,Brunei,,456908,0.958893538,96529,332979,27400
2020,Bulgaria,,6909095,0.949907346,953892,4557637,1397566
2020,Burkina Faso,,20137589,0.953820759,8382489,11096205,658895
2020,Burma,,55649118,0.971709681,13757249,38473284,3418585
2020,Burundi,,11452853,0.985032424,4787497,6302195,363161
2020,Cabo Verde,,572284,0.943127222,152051,388295,31938
2020,Cambodia,,16576316,0.946980787,4757378,11041463,777475
2020,Cameroon,,26790231,0.992209924,10793108,15133455,863668
2020,Canada,,37309838,0.982492775,5641714,24512700,7155424
2020,Cayman Islands,,61194,0.947365071,10242,42130,8822
2020,Central African Republic,,5804066,0.986982061,2178851,3424462,200753
2020,Chad,,16215754,0.977476233,7343315,8462694,409745
2020,Chile,,17949092,0.965611771,3361686,12439124,2148282
2020,China,,1377831266,1.054206608,224894055,980892429,172044782
2020,Colombia,,48336310,0.975724851,10672016,33548108,4116186
2020,Comoros,,826948,0.934512517,291122,501310,34516
2020,Congo (Brazzaville),,5128486,1.004592772,2035632,2923257,169597
2020,Congo (Kinshasa),,97852972,0.997841539,43279063,52064588,2509321
2020,Cook Islands,,8461,1.05863747,1596,5719,1146
2020,Costa Rica,,5022845,1.003323554,1050390,3525771,446684
2020,Cote d'Ivoire,,26719868,1.007967583,9826972,16109689,783207
2020,Croatia,,4190941,0.930740671,561859,2738579,890503
2020,Cuba,,10943824,0.988221993,1691724,7505009,1747091
2020,Curacao,,149327,0.921716749,27762,96569,24996
2020,Cyprus,,1252905,1.044611152,185000,903575,164330
2020,Czechia,,10606579,0.9690898,1527856,6913953,2164770
