NAME,POP,SEX,time,Population,Male,Female,0-14,15-65,65+,Country,MFRatio,State
Afghanistan,35403655,2,2020,35403655,17926588,17477067,13644189,20778783,980683,Afghanistan,1.0257206200559854,
Albania,3034890,2,2020,3034890,1497819,1537071,501421,2132858,400611,Albania,0.9744631184896468,
Algeria,42118488,2,2020,42118488,21333397,20785091,11856550,27608497,2653441,Algeria,1.0263797738484763,
American Samoa,48560,2,2020,48560,24218,24342,12848,32301,3411,American Samoa,0.9949059239175089,
Andorra,85034,2,2020,85034,43650,41384,10851,59316,14867,Andorra,1.0547554610477479,
Angola,31215539,2,2020,31215539,15186467,16029072,14249705,16217587,748247,Angola,0.9474327022799574,
Anguilla,17845,2,2020,17845,8430,9415,3668,12408,1769,Anguilla,0.8953797132235793,
Antigua and Barbuda,96679,2,2020,96679,45553,51126,20614,67317,8748,Antigua and Barbuda,0.8909947971677815,
Argentina,44754775,2,2020,44754775,22132761,22622014,10199568,29038266,5516941,Argentina,0.9783727036858876,
Armenia,2985443,2,2020,2985443,1451789,1533654,527408,2077311,380724,Armenia,0.9466209457935102,
Aruba,117998,2,2020,117998,55771,62227,19531,80490,17977,Aruba,0.8962508235974738,
Australia,25152474,2,2020,25152474,12493807,12658667,4453139,16654578,4044757,Australia,0.9869765118238752,
Austria,8775393,2,2020,8775393,4295361,4480032,1156812,5858273,1760308,Austria,0.9587790890779352,
Azerbaijan,10059411,2,2020,10059411,4985855,5073556,2184201,7130837,744373,Azerbaijan,0.9827140963852572,
"Bahamas, The",332764,2,2020,332764,163034,169730,69469,234012,29283,"Bahamas, The",0.96054910740588,
Bahrain,1486062,2,2020,1486062,901456,584606,258785,1176671,50606,Bahrain,1.5419889635070458,
Bangladesh,159770182,2,2020,159770182,78493692,81276490,40196554,108476011,11097617,Bangladesh,0.965761341317766,
Barbados,291245,2,2020,291245,140707,150538,48211,203065,39969,Barbados,0.9346942300282985,
Belarus,9386537,2,2020,9386537,4361653,5024884,1433223,6443048,1510266,Belarus,0.8680106844257499,
Belgium,11590085,2,2020,11590085,5710076,5880009,1887376,7451452,2251257,Belgium,0.9710998741668593,
Belize,390888,2,2020,390888,195692,195196,121444,251340,18104,Belize,1.0025410356769606,
Benin,12354983,2,2020,12354983,6065169,6289814,5351824,6695376,307783,Benin,0.9642843174694832,
Bermuda,70947,2,2020,70947,34288,36659,11178,45603,14166,Bermuda,0.9353228402302299,
Bhutan,769780,2,2020,769780,400471,369309,179315,538847,51618,Bhutan,1.0843792054891703,
Bolivia,11403803,2,2020,11403803,5639090,5764713,3295384,7443516,664903,Bolivia,0.9782082820081416,
Bosnia and Herzegovina,3802647,2,2020,3802647,1852257,1950390,472733,2707696,622218,Bosnia and Herzegovina,0.9496854475258795,
Botswana,2269768,2,2020,2269768,1089223,1180545,660150,1480751,128867,Botswana,0.9226442024658102,
Brazil,208874759,2,2020,208874759,102790073,106084686,41856438,147518959,19499362,Brazil,0.9689435570370638,
Brunei,456908,2,2020,456908,223660,233248,96529,332979,27400,Brunei,0.9588935382082591,
